ab0c1f,2025-05-29 04:41:35,OPEN,,
b66b2b,2025-05-29 04:41:52,DOWN,traficantes,
c3a8cb,2025-05-29 04:41:59,QUIT,,
484343,2025-05-29 04:46:11,TEST,traficantes,0
26cda0,2025-05-29 04:47:19,TEST,media,0
2b5ce7,2025-05-29 04:47:20,TEST,leds,0
a610fc,2025-05-29 04:47:21,TEST,traficantes,0
852217,2025-05-29 04:49:23,TEST,media,0
a45e2b,2025-05-29 04:49:24,TEST,leds,0
d3955d,2025-05-29 04:49:25,TEST,traficantes,0
fd0465,2025-05-29 04:54:55,PICK,,
5da68d,2025-05-29 04:54:55,TEST,,0
26edb9,2025-05-29 04:54:57,BACK,,
b2bb73,2025-05-29 04:57:03,PICK,,
6dbc30,2025-05-29 04:57:03,TEST,,0
f2d327,2025-05-29 04:57:06,BACK,,
d159ca,2025-05-29 04:57:31,PICK,,
861a9e,2025-05-29 04:57:31,TEST,,0
747ec8,2025-05-29 04:57:53,BACK,,
d69b8c,2025-05-29 04:58:01,OPEN,,
a5e62f,2025-05-29 04:58:03,PICK,leds,
7a3127,2025-05-29 04:58:05,TEST,leds,0
88cbf7,2025-05-29 04:58:14,TEST,leds,0
1e191b,2025-05-29 04:58:16,BACK,leds,
7fc1b7,2025-05-29 04:58:17,QUIT,,
41ee07,2025-05-29 14:20:59,TEST,media,0
a52363,2025-05-29 14:21:00,TEST,leds,0
73ef51,2025-05-29 14:21:01,TEST,traficantes,0
611f81,2025-05-29 16:01:08,TEST,media,0
94140e,2025-05-29 16:01:09,TEST,leds,0
8deb01,2025-05-29 16:01:10,TEST,traficantes,0
25c537,2025-05-29 16:01:27,TEST,media,0
d6d488,2025-05-29 16:01:29,TEST,leds,0
3d2e88,2025-05-29 16:01:30,TEST,traficantes,0
7dad37,2025-05-29 16:02:18,TEST,media,0
494a79,2025-05-29 16:02:19,TEST,leds,0
f56834,2025-05-29 16:02:20,TEST,traficantes,0
aa7c4c,2025-05-29 16:02:58,TEST,media,0
51587d,2025-05-29 16:02:59,TEST,leds,0
76597d,2025-05-29 16:03:00,TEST,traficantes,0
c9085c,2025-05-29 16:11:56,TEST,media,0
017102,2025-05-29 16:11:57,TEST,leds,0
9e85d6,2025-05-29 16:11:57,TEST,traficantes,0
dd37b2,2025-05-29 16:12:20,TEST,media,0
b4dafd,2025-05-29 16:12:21,TEST,leds,0
396633,2025-05-29 16:12:21,TEST,traficantes,0
205a3e,2025-05-29 16:16:01,TEST,media,0
fb19a9,2025-05-29 16:16:02,TEST,leds,0
b46e6e,2025-05-29 16:16:03,TEST,traficantes,0
42391f,2025-05-29 16:18:10,TEST,media,0
dd0f3e,2025-05-29 16:18:11,TEST,leds,0
1aa3b6,2025-05-29 16:18:12,TEST,traficantes,0
512b41,2025-05-29 16:19:33,TEST,media,0
550d68,2025-05-29 16:19:33,TEST,leds,0
1a786e,2025-05-29 16:19:34,TEST,traficantes,0
15904d,2025-05-29 16:41:01,TEST,media,0
1b7936,2025-05-29 16:41:02,TEST,leds,0
5c8383,2025-05-29 16:41:02,TEST,traficantes,0
f501c7,2025-05-29 16:41:25,TEST,media,0
f49ce7,2025-05-29 16:41:25,TEST,leds,0
6e8e06,2025-05-29 16:41:26,TEST,traficantes,0
73e58a,2025-05-29 16:43:09,TEST,media,0
d86aa6,2025-05-29 16:43:10,TEST,leds,0
9853da,2025-05-29 16:43:11,TEST,traficantes,0
63491b,2025-05-29 16:44:28,TEST,media,0
843323,2025-05-29 16:44:29,TEST,leds,0
a2f28c,2025-05-29 16:44:30,TEST,traficantes,0
d61dde,2025-05-29 16:44:43,TEST,media,0
bdb670,2025-05-29 16:44:44,TEST,leds,0
b258fb,2025-05-29 16:44:44,TEST,traficantes,0
b0035c,2025-05-29 16:44:58,TEST,media,0
b83259,2025-05-29 16:44:59,TEST,leds,0
8539e8,2025-05-29 16:45:00,TEST,traficantes,0
76b9eb,2025-05-29 16:45:37,TEST,media,0
c0f418,2025-05-29 16:45:38,TEST,leds,0
ac448b,2025-05-29 16:45:39,TEST,traficantes,0
a2ea89,2025-05-29 16:45:50,TEST,media,0
386781,2025-05-29 16:45:51,TEST,leds,0
a73cac,2025-05-29 16:45:52,TEST,traficantes,0
6e95ed,2025-05-29 16:48:24,TEST,media,0
f8bb4f,2025-05-29 16:48:25,TEST,leds,0
d87b61,2025-05-29 16:48:26,TEST,traficantes,0
865884,2025-05-29 16:48:47,TEST,media,0
3fafd5,2025-05-29 16:48:48,TEST,leds,0
ca4f42,2025-05-29 16:48:49,TEST,traficantes,0
1ea4a9,2025-05-29 19:21:38,TEST,media,0
3591a3,2025-05-29 19:21:39,TEST,leds,0
09e50c,2025-05-29 19:21:40,TEST,traficantes,0
0343dd,2025-05-29 16:36:45,TEST,media,0
1445d3,2025-05-29 16:36:47,TEST,leds,0
9fc7e0,2025-05-29 16:36:49,TEST,traficantes,0
0bb9fc,2025-05-30 20:41:28,TEST,media,0
0889ec,2025-05-30 20:41:29,TEST,leds,0
6aa851,2025-05-30 20:41:29,TEST,traficantes,0
